"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
216961338020004,93,0,0,4.256562323,"M242Db","replacement",5.71935483870968,1.48064516129032,2.15910088558074,2.68064516129032,3.90896042683572,4.48064516129032,6.53374973871819,341.193548387097,59.8064516129032,0.879700591607926,105.806451612903,1.55632035624272,152.806451612903,2.24764924619565
216961580020004,19,0,0,12.65816956,"M332Gl","restructuring",7.25161290322581,1.04838709677419,1.51651531475745,2.84838709677419,4.12025545517178,4.64838709677419,6.72399559558611,341.903225806452,88.0967741935484,1.46986795575932,104.096774193548,1.73682310261271,147.096774193548,2.45426505978121
216961580020004,93,1,0,12.65816956,"M332Gl","restructuring",7.25161290322581,1.04838709677419,1.51651531475745,2.84838709677419,4.12025545517178,4.64838709677419,6.72399559558611,341.903225806452,88.0967741935484,1.46986795575932,104.096774193548,1.73682310261271,147.096774193548,2.45426505978121
216961622020004,19,0,0,19.14522239,"M333Ad","resilience",3.58709677419355,1.21290322580645,1.69316470530218,2.91290322580645,4.06629715129753,4.71290322580645,6.5790256235279,157.645161290323,119.354838709677,1.90097337455342,56.3548387096774,0.897567698741847,103.354838709677,1.64614018704572
216961622020004,93,0,0,19.14522239,"M333Ad","resilience",3.58709677419355,1.21290322580645,1.69316470530218,2.91290322580645,4.06629715129753,4.71290322580645,6.5790256235279,157.645161290323,119.354838709677,1.90097337455342,56.3548387096774,0.897567698741847,103.354838709677,1.64614018704572
216961721020004,19,0,1,9.760395437,"M242Dd","replacement",2.13225806451613,1.46774193548387,1.87374320790437,2.76774193548387,3.53334433490538,4.66774193548387,5.95891521282993,236.709677419355,46.2903225806452,0.628064838776055,84.2903225806452,1.14364698517201,134.290322580645,1.82204454621931
216961721020004,93,0,1,9.760395437,"M242Dd","replacement",2.13225806451613,1.46774193548387,1.87374320790437,2.76774193548387,3.53334433490538,4.66774193548387,5.95891521282993,236.709677419355,46.2903225806452,0.628064838776055,84.2903225806452,1.14364698517201,134.290322580645,1.82204454621931
216961741020004,19,0,1,6.590827231,"M242Dd","replacement",3.13225806451613,2.36774193548387,3.07492539626927,2.66774193548387,3.46452766037424,4.56774193548387,5.93200866637233,290.064516129032,122.935483870968,1.56322538147325,95.9354838709677,1.21989826410429,145.935483870968,1.85568922219496
216961741020004,93,0,1,6.590827231,"M242Dd","replacement",3.13225806451613,2.36774193548387,3.07492539626927,2.66774193548387,3.46452766037424,4.56774193548387,5.93200866637233,290.064516129032,122.935483870968,1.56322538147325,95.9354838709677,1.21989826410429,145.935483870968,1.85568922219496
238861071489998,19,0,0,16.64379492,"M242Bc","reassembly",5.5258064516129,1.3741935483871,2.32509798379304,2.3741935483871,4.01707069500394,4.1741935483871,7.06262157518356,303.516129032258,36.483870967742,0.505438727776672,60.483870967742,0.837928925359205,97.483870967742,1.35051797996561
